Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,128,2,Some Random Commen with Id 0
1,0,8,12,4,Some Random Commen with Id 1
2,0,8,41,5,Some Random Commen with Id 2
3,1,2,161,7,Some Random Commen with Id 3
4,1,2,28,7,Some Random Commen with Id 4
5,1,2,114,1,Some Random Commen with Id 5
6,1,2,164,2,Some Random Commen with Id 6
7,1,2,41,5,Some Random Commen with Id 7
8,2,0,53,2,Some Random Commen with Id 8
9,2,0,193,0,Some Random Commen with Id 9
10,2,0,40,8,Some Random Commen with Id 10
11,2,0,3,6,Some Random Commen with Id 11
12,2,0,195,5,Some Random Commen with Id 12
13,2,0,86,3,Some Random Commen with Id 13
14,3,5,137,5,Some Random Commen with Id 14
15,3,5,101,5,Some Random Commen with Id 15
16,3,5,196,9,Some Random Commen with Id 16
17,3,5,152,9,Some Random Commen with Id 17
18,3,5,109,1,Some Random Commen with Id 18
19,3,5,106,1,Some Random Commen with Id 19
20,4,3,106,8,Some Random Commen with Id 20
21,4,3,21,0,Some Random Commen with Id 21
22,4,3,193,8,Some Random Commen with Id 22
23,4,3,37,7,Some Random Commen with Id 23
24,4,3,160,9,Some Random Commen with Id 24
25,4,3,175,8,Some Random Commen with Id 25
26,5,2,188,6,Some Random Commen with Id 26
27,5,2,187,9,Some Random Commen with Id 27
28,6,8,88,2,Some Random Commen with Id 28
29,6,8,136,7,Some Random Commen with Id 29
30,6,8,89,5,Some Random Commen with Id 30
31,6,8,102,3,Some Random Commen with Id 31
32,6,8,1,8,Some Random Commen with Id 32
33,6,8,114,3,Some Random Commen with Id 33
34,6,8,174,8,Some Random Commen with Id 34
35,7,3,68,2,Some Random Commen with Id 35
36,7,3,9,0,Some Random Commen with Id 36
37,8,4,173,0,Some Random Commen with Id 37
38,8,4,57,8,Some Random Commen with Id 38
39,8,4,141,2,Some Random Commen with Id 39
40,8,4,83,6,Some Random Commen with Id 40
41,9,9,44,6,Some Random Commen with Id 41
42,9,9,126,6,Some Random Commen with Id 42
43,9,9,136,0,Some Random Commen with Id 43
44,9,9,185,4,Some Random Commen with Id 44
45,10,0,129,0,Some Random Commen with Id 45
46,11,4,73,6,Some Random Commen with Id 46
47,11,4,194,2,Some Random Commen with Id 47
48,11,4,107,2,Some Random Commen with Id 48
49,11,4,64,1,Some Random Commen with Id 49
50,11,4,104,1,Some Random Commen with Id 50
51,11,4,29,4,Some Random Commen with Id 51
52,11,4,195,8,Some Random Commen with Id 52
53,11,4,28,5,Some Random Commen with Id 53
54,11,4,38,0,Some Random Commen with Id 54
55,12,8,195,3,Some Random Commen with Id 55
56,12,8,106,8,Some Random Commen with Id 56
57,12,8,13,5,Some Random Commen with Id 57
58,12,8,35,0,Some Random Commen with Id 58
59,13,2,17,7,Some Random Commen with Id 59
60,13,2,178,7,Some Random Commen with Id 60
61,13,2,9,4,Some Random Commen with Id 61
62,13,2,189,0,Some Random Commen with Id 62
63,13,2,168,8,Some Random Commen with Id 63
64,13,2,173,2,Some Random Commen with Id 64
65,13,2,195,6,Some Random Commen with Id 65
66,13,2,147,5,Some Random Commen with Id 66
67,14,2,100,4,Some Random Commen with Id 67
68,14,2,170,4,Some Random Commen with Id 68
69,14,2,28,5,Some Random Commen with Id 69
70,14,2,50,0,Some Random Commen with Id 70
71,14,2,44,2,Some Random Commen with Id 71
72,14,2,6,1,Some Random Commen with Id 72
73,14,2,51,9,Some Random Commen with Id 73
74,14,2,103,9,Some Random Commen with Id 74
75,14,2,88,1,Some Random Commen with Id 75
76,15,5,133,4,Some Random Commen with Id 76
77,15,5,160,1,Some Random Commen with Id 77
78,15,5,191,6,Some Random Commen with Id 78
79,15,5,84,6,Some Random Commen with Id 79
80,15,5,122,6,Some Random Commen with Id 80
81,16,9,105,9,Some Random Commen with Id 81
82,17,0,52,1,Some Random Commen with Id 82
83,17,0,20,8,Some Random Commen with Id 83
84,17,0,178,3,Some Random Commen with Id 84
85,17,0,7,5,Some Random Commen with Id 85
86,18,7,152,0,Some Random Commen with Id 86
87,18,7,150,1,Some Random Commen with Id 87
88,18,7,21,2,Some Random Commen with Id 88
89,18,7,5,3,Some Random Commen with Id 89
90,19,9,74,8,Some Random Commen with Id 90
91,19,9,175,9,Some Random Commen with Id 91
92,19,9,42,4,Some Random Commen with Id 92
93,19,9,181,3,Some Random Commen with Id 93
94,20,9,112,8,Some Random Commen with Id 94
95,20,9,166,4,Some Random Commen with Id 95
96,20,9,85,3,Some Random Commen with Id 96
97,20,9,132,7,Some Random Commen with Id 97
98,20,9,44,6,Some Random Commen with Id 98
99,20,9,52,4,Some Random Commen with Id 99
100,20,9,81,3,Some Random Commen with Id 100
101,22,5,147,0,Some Random Commen with Id 101
102,22,5,130,1,Some Random Commen with Id 102
103,22,5,124,8,Some Random Commen with Id 103
104,22,5,39,7,Some Random Commen with Id 104
105,22,5,177,1,Some Random Commen with Id 105
106,23,3,143,1,Some Random Commen with Id 106
107,23,3,41,3,Some Random Commen with Id 107
108,23,3,64,1,Some Random Commen with Id 108
109,23,3,71,8,Some Random Commen with Id 109
110,23,3,166,8,Some Random Commen with Id 110
111,23,3,119,6,Some Random Commen with Id 111
112,24,9,157,0,Some Random Commen with Id 112
113,24,9,147,0,Some Random Commen with Id 113
114,24,9,33,2,Some Random Commen with Id 114
115,24,9,57,0,Some Random Commen with Id 115
116,24,9,4,1,Some Random Commen with Id 116
117,24,9,142,3,Some Random Commen with Id 117
118,24,9,31,0,Some Random Commen with Id 118
119,24,9,57,8,Some Random Commen with Id 119
120,25,2,96,1,Some Random Commen with Id 120
121,25,2,140,6,Some Random Commen with Id 121
122,25,2,108,8,Some Random Commen with Id 122
123,25,2,0,3,Some Random Commen with Id 123
124,25,2,115,6,Some Random Commen with Id 124
125,25,2,118,5,Some Random Commen with Id 125
126,25,2,118,9,Some Random Commen with Id 126
127,25,2,24,8,Some Random Commen with Id 127
128,25,2,115,7,Some Random Commen with Id 128
129,26,0,45,0,Some Random Commen with Id 129
130,28,9,92,7,Some Random Commen with Id 130
131,29,4,75,8,Some Random Commen with Id 131
132,29,4,167,0,Some Random Commen with Id 132
133,29,4,69,0,Some Random Commen with Id 133
134,30,0,148,8,Some Random Commen with Id 134
135,30,0,159,9,Some Random Commen with Id 135
136,30,0,146,2,Some Random Commen with Id 136
137,30,0,145,3,Some Random Commen with Id 137
138,30,0,143,4,Some Random Commen with Id 138
139,30,0,179,7,Some Random Commen with Id 139
140,30,0,76,2,Some Random Commen with Id 140
141,30,0,82,6,Some Random Commen with Id 141
142,32,3,18,0,Some Random Commen with Id 142
143,32,3,168,2,Some Random Commen with Id 143
144,32,3,132,6,Some Random Commen with Id 144
145,32,3,185,8,Some Random Commen with Id 145
146,33,3,79,8,Some Random Commen with Id 146
147,33,3,165,7,Some Random Commen with Id 147
148,33,3,103,3,Some Random Commen with Id 148
149,33,3,122,5,Some Random Commen with Id 149
150,33,3,40,3,Some Random Commen with Id 150
151,33,3,101,4,Some Random Commen with Id 151
152,33,3,87,4,Some Random Commen with Id 152
153,34,7,163,7,Some Random Commen with Id 153
154,34,7,26,2,Some Random Commen with Id 154
155,34,7,120,4,Some Random Commen with Id 155
156,34,7,196,3,Some Random Commen with Id 156
157,34,7,39,1,Some Random Commen with Id 157
158,34,7,23,4,Some Random Commen with Id 158
159,34,7,114,0,Some Random Commen with Id 159
160,34,7,24,8,Some Random Commen with Id 160
161,35,8,153,4,Some Random Commen with Id 161
162,35,8,191,2,Some Random Commen with Id 162
163,35,8,193,8,Some Random Commen with Id 163
164,35,8,96,1,Some Random Commen with Id 164
165,35,8,150,3,Some Random Commen with Id 165
166,35,8,45,3,Some Random Commen with Id 166
167,35,8,86,4,Some Random Commen with Id 167
168,35,8,78,0,Some Random Commen with Id 168
169,36,4,49,8,Some Random Commen with Id 169
170,36,4,128,9,Some Random Commen with Id 170
171,36,4,199,6,Some Random Commen with Id 171
172,37,2,53,7,Some Random Commen with Id 172
173,37,2,122,4,Some Random Commen with Id 173
174,37,2,133,5,Some Random Commen with Id 174
175,37,2,100,0,Some Random Commen with Id 175
176,37,2,34,3,Some Random Commen with Id 176
177,37,2,74,8,Some Random Commen with Id 177
178,37,2,3,5,Some Random Commen with Id 178
179,37,2,94,0,Some Random Commen with Id 179
180,38,4,46,1,Some Random Commen with Id 180
181,38,4,94,8,Some Random Commen with Id 181
182,38,4,71,0,Some Random Commen with Id 182
183,38,4,7,0,Some Random Commen with Id 183
184,38,4,136,4,Some Random Commen with Id 184
185,38,4,70,2,Some Random Commen with Id 185
186,38,4,97,1,Some Random Commen with Id 186
187,38,4,14,1,Some Random Commen with Id 187
188,39,2,13,5,Some Random Commen with Id 188
189,39,2,48,8,Some Random Commen with Id 189
190,39,2,77,2,Some Random Commen with Id 190
191,39,2,82,7,Some Random Commen with Id 191
192,39,2,14,5,Some Random Commen with Id 192
